id,first_name,last_name,position,id_team,abbreviation,city,conference,division,full_name,name
14,Ike,Anigbogu,C,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
25,Ron,Baker,G,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
47,Jabari,Bird,G,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
67,MarShon,Brooks,G,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
71,Lorenzo,Brown,G,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
90,Omri,Casspi,F,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1,Alex,Abrines,G,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
119,Tyler,Davis,C,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
149,Keenan,Evans,G,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
179,Marcin,Gortat,C,13,LAC,LA,West,Pacific,LA Clippers,Clippers
1593,Andrew,Bogut,F,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
241,Amir,Johnson,C-F,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
392,Malachi,Richardson,G,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
281,Zach,Lofton,G,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
263,Kosta,Koufos,C,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
382,Billy,Preston,F,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
384,Zhou,Qi,F-C,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
388,Zach,Randolph,F,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
430,DJ,Stephens,G-F,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
437,Milos,Teodosic,G,13,LAC,LA,West,Pacific,LA Clippers,Clippers
448,Gary,Trent Jr.,G,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
494,Michael,Smith,Unknown,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
495,John,Morton,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
496,Howard,Wright,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
497,Michael,Ansley,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
498,John,Salley,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
499,Dan,Schayes,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
500,Mark,Eaton,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
501,Kevin,Johnson,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
502,Danny,Ainge,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
503,Kenny,Smith,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
504,Randy,Breuer,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
505,Herb,Williams,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
506,Joe,Wolf,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
507,Steve,Johnson,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
508,Glen,Rice,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
509,Greg,Foster,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
510,Larry,Nance,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
511,Duane,Ferrell,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
512,Nick,Anderson,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
513,Joe,Dumars,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
514,Jay,Humphries,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
515,Darrell,Griffith,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
516,Dan,Majerle,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
517,Tom,Chambers,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
518,Alaa,Abdelnaby,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
519,Adrian,Caldwell,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
520,Vernon,Maxwell,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
521,Doug,West,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
522,Tony,Campbell,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
523,Roy,Tarpley,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
524,Anthony,Cook,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
525,Todd,Lichti,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
526,Tom,Tolbert,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
527,Billy,Thompson,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
528,Byron,Irvin,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
529,Mark,Price,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
530,Dominique,Wilkins,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
531,Dennis,Scott,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
532,Terry,Catledge,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
533,Bill,Laimbeer,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
534,William,Bedford,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
535,Ricky,Pierce,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
536,Blue,Edwards,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
537,Walter,Palmer,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
538,Mark,West,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
539,Clifford,Robinson,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
540,Hakeem,Olajuwon,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
541,Richard,Coffey,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
542,James,Donaldson,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
543,Jerome,Lane,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
544,Sarunas,Marciulionis,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
545,Grant,Long,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
546,Willie,Burton,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
547,Mark,Alarie,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
548,Winston,Bennett,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
549,Doc,Rivers,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
550,Tim,McCormick,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
551,Scott,Skiles,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
552,Dennis,Rodman,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
553,Greg,Anderson,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
554,Jeff,Malone,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
555,Cedric,Ceballos,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
556,Tim,Perry,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
557,Buck,Williams,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
558,Dave,Jamerson,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
559,Scott,Brooks,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
560,Rolando,Blackman,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
561,Avery,Johnson,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
562,Rod,Higgins,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
563,Jon,Sundvold,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
564,A.J.,English,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
565,John,Battle,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
566,Sam,Vincent,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
567,Isiah,Thomas,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
568,Brad,Lohaus,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
569,Mike,Brown,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
570,Kenny,Battle,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
571,Danny,Young,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
572,Larry,Smith,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
573,Pooh,Richardson,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
574,Derek,Harper,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
575,Michael,Adams,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
576,Tim,Hardaway,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
577,Bimbo,Coles,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
578,Darrell,Walker,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
579,Kevin,Willis,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
580,Otis,Smith,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
581,James,Edwards,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
582,Frank,Brickowski,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
583,Karl,Malone,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
584,Ian,Lockhart,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
585,Kevin,Duckworth,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
586,Otis,Thorpe,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
587,Gerald,Glass,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
588,Alex,English,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
589,T.R.,Dunn,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
590,Alton,Lister,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
591,Sherman,Douglas,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
592,Charles,Jones,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
593,Moses,Malone,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
594,Mark,Acres,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
595,Lance,Blanks,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
596,Jeff,Grayer,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
597,Chris,Munk,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
598,Jeff,Hornacek,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
599,Jerome,Kersey,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
600,Dave,Feitl,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
601,Tod,Murphy,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
602,Lafayette,Lever,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
603,Corey,Gaines,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
604,Mitch,Richmond,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
605,Kevin,Edwards,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
606,Haywoode,Workman,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
607,Tom,Hammonds,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
608,Rumeal,Robinson,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
609,Greg,Kite,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
610,Vinnie,Johnson,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
611,Jack,Sikma,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
612,Delaney,Rudd,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
613,Ed,Nealy,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
614,Wayne,Cooper,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
615,Sleepy,Floyd,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
616,Felton,Spencer,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
617,Tyrone,Corbin,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
618,Marcus,Liberty,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
619,Walter,Davis,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
620,Tyrone,Hill,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
621,Alec,Kessler,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
622,Terry,Davis,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
623,Larry,Robinson,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
624,Sidney,Moncrief,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
